time,sea_level,trend,uncertainty_envelop
1993-01-01,0.37075454,0.6633254,0.8739378
1993-01-02,0.37253803,0.6637989,0.8737207
1993-01-03,0.37434146,0.6642725,0.87341255
1993-01-04,0.37616542,0.6647461,0.87324756
1993-01-05,0.37801054,0.66521984,0.87312084
1993-01-06,0.3798773,0.66569364,0.8728233
1993-01-07,0.38176632,0.66616756,0.8724065
1993-01-08,0.38367814,0.6666415,0.87219346
1993-01-09,0.3856133,0.6671155,0.8718804
1993-01-10,0.38757235,0.66758966,0.8717364
1993-01-11,0.38955578,0.6680639,0.8713746
1993-01-12,0.39156416,0.66853815,0.87120605
1993-01-13,0.39359802,0.6690125,0.87082595
1993-01-14,0.3956578,0.66948694,0.8706015
1993-01-15,0.39774406,0.66996145,0.8703459
1993-01-16,0.39985725,0.6704361,0.87004256
1993-01-17,0.40199783,0.6709108,0.869819
1993-01-18,0.4041663,0.6713855,0.86957794
1993-01-19,0.40636316,0.67186034,0.86922497
1993-01-20,0.4085888,0.67233527,0.86915755
1993-01-21,0.41084364,0.67281026,0.86881125
1993-01-22,0.41312814,0.67328537,0.8685303
1993-01-23,0.41544262,0.67376053,0.8681271
1993-01-24,0.41778743,0.67423576,0.86803997
1993-01-25,0.42016292,0.67471105,0.8677944
1993-01-26,0.42256933,0.67518646,0.8675021
1993-01-27,0.42500693,0.675662,0.86737686
1993-01-28,0.4274759,0.6761375,0.8669963
1993-01-29,0.42997646,0.67661315,0.8667226
1993-01-30,0.43250877,0.67708886,0.8665307
1993-01-31,0.43507293,0.6775647,0.8663709
1993-02-01,0.43766907,0.67804056,0.8659749
1993-02-02,0.44029728,0.6785165,0.8657518
1993-02-03,0.4429576,0.67899257,0.8655243
1993-02-04,0.44565016,0.6794687,0.86511314
1993-02-05,0.44837493,0.6799449,0.86498165
1993-02-06,0.45113197,0.6804211,0.8647742
1993-02-07,0.45392138,0.6808975,0.8645948
1993-02-08,0.45674312,0.68137395,0.86422276
1993-02-09,0.4595973,0.68185043,0.86397
1993-02-10,0.46248394,0.68232703,0.86386424
1993-02-11,0.46540308,0.68280375,0.86359906
1993-02-12,0.46835482,0.68328047,0.863258
1993-02-13,0.4713392,0.6837573,0.86297333
1993-02-14,0.4743563,0.68423426,0.86271495
1993-02-15,0.4774062,0.6847112,0.8625189
1993-02-16,0.480489,0.6851883,0.86224705
1993-02-17,0.4836047,0.6856655,0.8620178
1993-02-18,0.48675346,0.6861427,0.86183643
1993-02-19,0.48993528,0.68662,0.86161715
1993-02-20,0.49315023,0.68709743,0.86124295
1993-02-21,0.49639833,0.6875749,0.8610097
1993-02-22,0.4996796,0.6880525,0.8607764
1993-02-23,0.50299406,0.6885301,0.8606346
1993-02-24,0.50634164,0.6890078,0.86029935
1993-02-25,0.50972235,0.6894856,0.86006284
