time,trend_MSL_filtered_GIA_TPA_corrected_adjusted
1/1/93,0.6633254
1/2/93,0.6637989
1/3/93,0.6642725
1/4/93,0.6647461
1/5/93,0.66521984
1/6/93,0.66569364
1/7/93,0.66616756
1/8/93,0.6666415
1/9/93,0.6671155
1/10/93,0.66758966
1/11/93,0.6680639
1/12/93,0.66853815
1/13/93,0.6690125
1/14/93,0.66948694
1/15/93,0.66996145
1/16/93,0.6704361
1/17/93,0.6709108
1/18/93,0.6713855
1/19/93,0.67186034
1/20/93,0.67233527
1/21/93,0.67281026
1/22/93,0.67328537
1/23/93,0.67376053
1/24/93,0.67423576
1/25/93,0.67471105
1/26/93,0.67518646
1/27/93,0.675662
1/28/93,0.6761375
1/29/93,0.67661315
1/30/93,0.67708886
1/31/93,0.6775647
2/1/93,0.67804056
2/2/93,0.6785165
2/3/93,0.67899257
2/4/93,0.6794687
2/5/93,0.6799449
2/6/93,0.6804211
2/7/93,0.6808975
2/8/93,0.68137395
2/9/93,0.68185043
2/10/93,0.68232703
2/11/93,0.68280375
2/12/93,0.68328047
2/13/93,0.6837573
2/14/93,0.68423426
2/15/93,0.6847112
2/16/93,0.6851883
2/17/93,0.6856655
2/18/93,0.6861427
2/19/93,0.68662
2/20/93,0.68709743
2/21/93,0.6875749
2/22/93,0.6880525
2/23/93,0.6885301
2/24/93,0.6890078
2/25/93,0.6894856
2/26/93,0.68996346
2/27/93,0.6904414
2/28/93,0.69091946
3/1/93,0.6913976
3/2/93,0.69187576
3/3/93,0.692354
3/4/93,0.6928324
3/5/93,0.69331086
3/6/93,0.69378936
3/7/93,0.6942679
3/8/93,0.6947466
3/9/93,0.69522536
3/10/93,0.6957042
3/11/93,0.69618315
3/12/93,0.6966621
3/13/93,0.6971412
3/14/93,0.69762033
3/15/93,0.69809955
3/16/93,0.6985789
3/17/93,0.6990583
3/18/93,0.69953775
3/19/93,0.7000173
3/20/93,0.7004969
3/21/93,0.70097667
3/22/93,0.7014564
3/23/93,0.7019363
3/24/93,0.70241624
3/25/93,0.7028963
3/26/93,0.7033764
3/27/93,0.7038566
3/28/93,0.7043369
3/29/93,0.70481724
3/30/93,0.70529765
3/31/93,0.7057782
4/1/93,0.7062588
4/2/93,0.7067394
4/3/93,0.70722014
4/4/93,0.70770097
4/5/93,0.7081819
4/6/93,0.70866287
4/7/93,0.70914394
4/8/93,0.7096251
4/9/93,0.7101063
4/10/93,0.7105877
4/11/93,0.71106905
4/12/93,0.71155053
4/13/93,0.7120321
4/14/93,0.7125137
4/15/93,0.7129954
4/16/93,0.7134772
4/17/93,0.71395904
4/18/93,0.714441
4/19/93,0.714923
4/20/93,0.7154051
4/21/93,0.7158873
4/22/93,0.71636957
4/23/93,0.71685195
4/24/93,0.7173344
